mode: set
task6/main.go:21.13,24.16 2 1
task6/main.go:29.2,30.16 2 1
task6/main.go:35.2,36.16 2 1
task6/main.go:41.2,42.40 2 1
task6/main.go:50.2,50.21 1 1
task6/main.go:24.16,27.3 2 1
task6/main.go:30.16,33.3 2 1
task6/main.go:36.16,39.3 2 1
task6/main.go:43.17,45.87 2 1
task6/main.go:46.16,48.86 2 1
task6/main.go:50.21,52.3 1 1
task6/main.go:55.42,56.23 1 1
task6/main.go:60.2,60.36 1 1
task6/main.go:56.23,58.3 1 1
task6/main.go:63.56,66.16 2 1
task6/main.go:70.2,70.29 1 1
task6/main.go:66.16,68.3 1 1
task6/main.go:73.57,75.16 2 1
task6/main.go:79.2,84.44 5 1
task6/main.go:92.2,92.20 1 1
task6/main.go:75.16,77.3 1 1
task6/main.go:84.44,90.3 2 1
task6/main.go:95.43,100.9 4 1
task6/main.go:107.2,107.10 1 1
task6/main.go:101.16,102.19 1 1
task6/main.go:103.15,104.18 1 1
task6/main.go:110.54,112.31 2 1
task6/main.go:131.2,131.15 1 1
task6/main.go:112.31,114.17 2 1
task6/main.go:118.3,119.42 2 1
task6/main.go:127.3,127.26 1 1
task6/main.go:114.17,115.12 1 1
task6/main.go:119.42,120.31 1 1
task6/main.go:120.31,122.5 1 1
task6/main.go:122.10,124.5 1 1
task6/main.go:127.26,129.4 1 1
task6/main.go:134.53,136.31 2 1
task6/main.go:155.2,155.15 1 1
task6/main.go:136.31,138.17 2 1
task6/main.go:142.3,143.42 2 1
task6/main.go:151.3,151.24 1 1
task6/main.go:138.17,139.12 1 1
task6/main.go:143.42,144.24 1 1
task6/main.go:144.24,146.5 1 1
task6/main.go:146.10,148.5 1 1
task6/main.go:151.24,153.4 1 1
task6/main.go:158.58,163.46 3 1
task6/main.go:169.2,169.17 1 1
task6/main.go:173.2,173.20 1 1
task6/main.go:163.46,167.3 3 1
task6/main.go:169.17,171.3 1 1
task6/main.go:176.39,178.6 2 1
task6/main.go:185.2,187.15 2 1
task6/main.go:178.6,179.39 1 1
task6/main.go:182.3,182.24 1 1
task6/main.go:179.39,180.9 1 1
